21:25:24.836  127.0.0.1:自动分配端口失败, ret = -1
21:27:13.827  127.0.0.1:自动分配端口失败, ret = -1
21:32:05.151  127.0.0.1:自动分配端口失败, ret = -1
21:36:14.432  127.0.0.1:自动分配端口失败, ret = -1
21:39:32.069  127.0.0.1:自动分配端口失败, ret = -1
21:41:15.979  127.0.0.1:自动分配端口失败, ret = -1
21:55:37.220  127.0.0.1:自动分配端口失败, ret = -1
21:59:53.554  127.0.0.1:自动分配端口失败, ret = -1
22:01:44.784  127.0.0.1:自动分配端口失败, ret = -1
22:07:18.066  127.0.0.1:自动分配端口失败, ret = -1
22:17:32.129  127.0.0.1:自动分配端口失败, ret = -1
22:19:21.271  127.0.0.1:自动分配端口失败, ret = -1
